Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Instructional Technology Specialist,25%,288,1982,0.14530777,Leadership & Strategy
Instructor,35%,406,1238,0.327948304,Data & IT
Instrument Engineer,15%,773,2730,0.283150183,Law Enforcement
Instrument Fitter,20%,112,716,0.156424581,Leadership & Strategy
Instrument Technician,15%,771,3035,0.254036244,Hospitality
Instrumentation Technician,50%,116,719,0.161335188,Sales & Marketing
Insulator,18%,186,768,0.2421875,Administrative & Clerical
Insurance,10%,831,3555,0.233755274,Sales & Marketing
Insurance Adjuster,30%,152,1454,0.104539202,Administrative & Clerical
Insurance Agent,20%,211,1490,0.141610738,Supply Chain & Logistics
Insurance Analyst,50%,186,1529,0.121648136,Construction
Insurance Appraiser,45%,394,1396,0.282234957,Construction
Insurance Assistant,20%,207,1473,0.140529532,Law Enforcement
Insurance Broker,35%,441,1376,0.320494186,Communication & PR
Insurance Clerk,40%,463,1446,0.320193638,Medical & Healthcare
Insurance Consultant,30%,229,1408,0.162642045,Hospitality
Insurance Coordinator,30%,237,1397,0.169649248,Leadership & Strategy
Insurance Fraud Investigator,30%,193,1661,0.116195063,Administrative & Clerical
Insurance Investigator,45%,406,1386,0.292929293,Sales & Marketing
Insurance Manager,40%,700,2137,0.327562003,Construction
Insurance Producer,55%,110,853,0.128956624,Supply Chain & Logistics
Insurance Sales,60%,135,1031,0.130940834,Medical & Healthcare
Insurance Sales Agent,55%,179,1628,0.10995086,Leadership & Strategy
Insurance Sales Manager,45%,622,2122,0.293119698,Leadership & Strategy
Insurance Sales Representative,60%,135,1031,0.130940834,Supply Chain & Logistics
Insurance Specialist,35%,240,1523,0.157583716,Law Enforcement
Insurance Underwriter,45%,464,1553,0.298776561,Hospitality
Insurance Verification Specialist,25%,292,2021,0.144482929,Administrative & Clerical
Intake Coordinator,35%,434,1412,0.307365439,Supply Chain & Logistics
Intake Specialist,40%,628,1833,0.342607747,Administrative & Clerical
Integration Analyst,38%,540,1483,0.36412677,Medical & Healthcare
Integration Architect,20%,274,1708,0.160421546,Leadership & Strategy
Integration Consultant,30%,298,1737,0.171560161,Communication & PR
Integration Developer,48%,503,1957,0.25702606,Medical & Healthcare
Integration Engineer,35%,525,1396,0.376074499,Medical & Healthcare
Integration Specialist,20%,277,1789,0.154835103,Leadership & Strategy
Intellectual Property Attorney,30%,196,1380,0.142028986,Data & IT
Intelligence,60%,148,1439,0.102849201,Data & IT
Intelligence Analyst,75%,169,1185,0.142616034,Construction
Intelligence Officer,40%,530,1542,0.343709468,Construction
Intelligence Specialist,50%,177,1247,0.141940658,Supply Chain & Logistics
Interaction Designer,25%,271,2044,0.13258317,Hospitality
Interior Decorator,50%,408,1792,0.227678571,Communication & PR
Interior Design,20%,245,1962,0.124872579,Law Enforcement
Interior Design Assistant,10%,716,3344,0.214114833,Data & IT
Interior Design Consultant,20%,255,1966,0.129704985,Construction
Interior Designer,20%,258,1983,0.1301059,Sales & Marketing
Interior Painter,50%,35,351,0.0997151,Hospitality
Interpreter,15%,767,3843,0.199583659,Administrative & Clerical
Intervention Specialist,25%,248,1844,0.134490239,Communication & PR
Interventional Radiologist,15%,304,1140,0.266666667,Administrative & Clerical
Interviewer,33%,160,1173,0.136402387,Administrative & Clerical
Inventor,5%,850,3331,0.255178625,Communication & PR
Inventory,40%,539,1778,0.303149606,Hospitality
Inventory Accountant,20%,227,1633,0.139007961,Data & IT
Inventory Analyst,45%,806,2656,0.303463855,Communication & PR
Inventory Associate,35%,536,1848,0.29004329,Administrative & Clerical
Inventory Auditor,20%,231,1672,0.138157895,Administrative & Clerical
Inventory Clerk,35%,530,1840,0.288043478,Leadership & Strategy
Inventory Control Clerk,30%,255,1952,0.130635246,Construction
Inventory Control Manager,35%,546,1774,0.30777903,Leadership & Strategy
Inventory Control Supervisor,45%,509,1635,0.311314985,Construction
Inventory Controller,45%,550,1699,0.323719835,Hospitality
Inventory Coordinator,45%,546,1664,0.328125,Communication & PR
Inventory Manager,10%,981,4104,0.239035088,Medical & Healthcare
Inventory Planner,40%,791,2569,0.307901907,Sales & Marketing
Inventory Specialist,35%,524,1687,0.310610551,Sales & Marketing
Inventory Supervisor,15%,913,3625,0.251862069,Supply Chain & Logistics
Investigative Analyst,70%,194,1175,0.165106383,Leadership & Strategy
Investigator,40%,473,1414,0.334512023,Supply Chain & Logistics
Investment Accountant,30%,188,1353,0.13895048,Administrative & Clerical
Investment Advisor,20%,257,1852,0.138768898,Leadership & Strategy
Investment Analyst,40%,764,2456,0.311074919,Leadership & Strategy
Investment Associate,30%,185,1298,0.142526965,Leadership & Strategy
Investment Banker,25%,277,1869,0.148207598,Data & IT
Investment Banking Analyst,35%,478,1461,0.327173169,Leadership & Strategy
Investment Banking Associate,30%,186,1320,0.140909091,Medical & Healthcare
Investment Consultant,10%,907,3642,0.24903899,Supply Chain & Logistics
Investment Manager,15%,839,3274,0.256261454,Law Enforcement
Investment Officer,15%,986,3652,0.269989047,Law Enforcement
Investment Specialist,20%,255,1845,0.138211382,Medical & Healthcare
Investor,5%,995,3428,0.290256709,Law Enforcement
Ios Developer,75%,148,1394,0.106169297,Supply Chain & Logistics
Ironworker,10%,348,1201,0.289758535,Supply Chain & Logistics
Irrigation Technician,20%,137,922,0.148590022,Communication & PR
It Analyst,30%,330,1942,0.169927909,Hospitality
It Architect,40%,772,2297,0.336090553,Sales & Marketing
It Auditor,20%,241,1582,0.152338812,Medical & Healthcare
It Business Analyst,30%,379,2519,0.15045653,Administrative & Clerical
It Consultant,30%,260,1599,0.162601626,Communication & PR
It Director,10%,1161,4620,0.251298701,Administrative & Clerical
It Engineer,50%,188,1290,0.145736434,Construction
It Manager,10%,1161,4609,0.25189846,Leadership & Strategy
It Operations Manager,15%,1208,4479,0.269703059,Law Enforcement
It Program Manager,15%,1221,4501,0.27127305,Construction
It Project Coordinator,40%,872,2890,0.301730104,Supply Chain & Logistics
It Project Manager,75%,221,1840,0.120108696,Administrative & Clerical
It Recruiter,47%,489,1602,0.305243446,Supply Chain & Logistics
It Security Engineer,55%,139,1071,0.129785247,Data & IT
It Specialist,38%,547,1548,0.353359173,Supply Chain & Logistics
It Support,40%,830,2540,0.326771654,Hospitality
It Support Analyst,40%,824,2533,0.325305961,Communication & PR
It Support Specialist,30%,223,1517,0.147000659,Data & IT
J2Ee Developer,70%,141,983,0.143438454,Leadership & Strategy
Jailer,20%,35,253,0.138339921,Law Enforcement
Janitor,65%,9,138,0.065217391,Communication & PR
Janitorial Manager,40%,355,1277,0.277995301,Law Enforcement
Janitorial Supervisor,20%,136,966,0.140786749,Data & IT
Java,60%,103,740,0.139189189,Communication & PR
Java Architect,20%,263,1662,0.158243081,Medical & Healthcare
Java Consultant,50%,186,1290,0.144186047,Supply Chain & Logistics
Java Developer,60%,109,769,0.141742523,Data & IT
Java Engineer,60%,110,796,0.138190955,Administrative & Clerical
Java Programmer,60%,110,796,0.138190955,Leadership & Strategy
Java Software Developer,60%,110,796,0.138190955,Medical & Healthcare
Java Software Engineer,60%,110,796,0.138190955,Construction
Java Web Developer,60%,110,796,0.138190955,Sales & Marketing
Javascript Developer,70%,150,1039,0.144369586,Supply Chain & Logistics
Jeweler,10%,470,2560,0.18359375,Construction
Jewelry Consultant,22%,155,1189,0.130361648,Construction
Job Coach,10%,915,3836,0.238529718,Hospitality
Journalism,20%,277,1809,0.153123273,Hospitality
Journalist,20%,280,1803,0.155296728,Communication & PR
Journeyman,18%,206,838,0.245823389,Leadership & Strategy
Journeyman Electrician,15%,330,1256,0.262738854,Leadership & Strategy
Journeyman Lineman,15%,333,1190,0.279831933,Medical & Healthcare
Journeyman Plumber,20%,114,774,0.147286822,Administrative & Clerical
Judge,5%,323,1443,0.223839224,Medical & Healthcare
Judicial Law Clerk,15%,698,2908,0.24002751,Construction
Junior Accountant,25%,282,1921,0.146798542,Administrative & Clerical
Junior Analyst,30%,372,2481,0.149939541,Leadership & Strategy
Junior Architect,60%,148,1581,0.093611638,Communication & PR
Junior Art Director,15%,1120,4809,0.232896652,Leadership & Strategy
Junior Business Analyst,30%,373,2496,0.149439103,Medical & Healthcare
Junior Copywriter,15%,1266,5425,0.233364055,Data & IT
Junior Data Analyst,45%,699,2417,0.289201489,Sales & Marketing
Junior Designer,25%,390,2388,0.163316583,Hospitality
Junior Developer,60%,114,810,0.140740741,Hospitality
Junior Engineer,15%,966,3547,0.272342825,Communication & PR
Junior Financial Analyst,40%,792,2669,0.296740352,Construction
Junior Graphic Designer,15%,1217,5123,0.237556119,Administrative & Clerical
Junior Java Developer,65%,247,1714,0.144107351,Administrative & Clerical
Junior Loan Processor,50%,130,954,0.136268344,Communication & PR
Junior Mechanical Engineer,20%,153,1112,0.137589928,Data & IT
Junior Network Engineer,38%,493,1352,0.36464497,Law Enforcement
Junior Project Manager,40%,844,2792,0.302292264,Law Enforcement
Junior Recruiter,20%,252,1759,0.143263218,Construction
Junior Software Engineer,65%,243,1716,0.141608392,Leadership & Strategy
Junior Systems Administrator,40%,801,2493,0.321299639,Data & IT
Junior Underwriter,50%,123,932,0.131974249,Data & IT
Junior Web Developer,47%,526,2020,0.26039604,Law Enforcement
Justice,5%,313,1207,0.25932063,Supply Chain & Logistics
Juvenile Detention Officer,15%,502,1928,0.260373444,Administrative & Clerical
Juvenile Probation Officer,35%,429,1323,0.324263039,Supply Chain & Logistics
K9 Handler,10%,354,1600,0.22125,Hospitality
Kennel Assistant,15%,222,937,0.236926361,Leadership & Strategy
Kennel Attendant,15%,222,931,0.238453276,Medical & Healthcare
Kennel Technician,15%,220,929,0.236813778,Supply Chain & Logistics
Key Account Manager,25%,310,2020,0.153465347,Law Enforcement
Key Holder,10%,592,2335,0.253533191,Sales & Marketing
Kindergarten Teacher,8%,836,3452,0.242178447,Administrative & Clerical
Kitchen Assistant,25%,95,1082,0.08780037,Leadership & Strategy
Kitchen Designer,25%,219,1889,0.115934357,Administrative & Clerical
Kitchen Hand,20%,26,156,0.166666667,Supply Chain & Logistics
Kitchen Helper,20%,26,156,0.166666667,Law Enforcement
Kitchen Manager,30%,165,1172,0.140784983,Law Enforcement
Kitchen Staff,25%,96,792,0.121212121,Medical & Healthcare
Kitchen Steward,25%,92,725,0.126896552,Supply Chain & Logistics
Kitchen Supervisor,30%,158,1149,0.137510879,Construction
Kitchen Worker,20%,29,166,0.174698795,Construction
Knowledge Management Specialist,20%,274,1806,0.151716501,Law Enforcement
Knowledge Manager,35%,272,1587,0.171392565,Leadership & Strategy
Kyc Analyst,45%,545,1794,0.303790412,Administrative & Clerical
Lab Aide,40%,287,1031,0.278370514,Data & IT
Lab Analyst,30%,156,1484,0.105121294,Communication & PR
Lab Assistant,35%,458,1498,0.305740988,Sales & Marketing
Lab Technician,25%,233,1706,0.136576788,Construction
Lab Technologist,40%,375,1584,0.236742424,Medical & Healthcare
Labor Relations Manager,25%,237,1714,0.138273046,Construction
Labor Relations Specialist,15%,871,3744,0.232638889,Leadership & Strategy
Laboratory Analyst,40%,398,1602,0.248439451,Supply Chain & Logistics
Laboratory Assistant,35%,456,1497,0.304609218,Law Enforcement
Laboratory Director,20%,209,1442,0.144937587,Administrative & Clerical
Laboratory Manager,25%,277,1897,0.146020032,Leadership & Strategy
Laboratory Supervisor,20%,212,1450,0.146206897,Leadership & Strategy
Laboratory Technician,45%,425,1462,0.290697674,Leadership & Strategy
Laboratory Technologist,30%,115,1125,0.102222222,Communication & PR
Laborer,10%,201,615,0.326829268,Sales & Marketing
Lacrosse Coach,15%,399,1707,0.233743409,Medical & Healthcare
Lactation Consultant,60%,72,540,0.133333333,Leadership & Strategy
Land Surveyor,45%,323,1531,0.21097322,Medical & Healthcare
Landscape Architect,55%,89,1074,0.082867784,Communication & PR
Landscape Designer,15%,694,3033,0.228816353,Administrative & Clerical
Landscape Foreman,10%,538,2203,0.244212438,Sales & Marketing
Landscape Laborer,10%,224,706,0.317280453,Hospitality
Landscape Manager,30%,185,1249,0.148118495,Sales & Marketing
Landscape Technician,20%,139,844,0.164691943,Leadership & Strategy
Landscaper,5%,279,825,0.338181818,Medical & Healthcare
Landscaping,10%,551,2538,0.217100079,Hospitality
Language Arts Teacher,8%,813,3448,0.235788863,Leadership & Strategy
Language Specialist,20%,212,1502,0.14114514,Medical & Healthcare
Laser Operator,30%,201,1640,0.122560976,Sales & Marketing
Laser Technician,30%,132,1242,0.106280193,Data & IT
Lathe Machinist,18%,223,879,0.253697383,Medical & Healthcare
Lathe Operator,35%,200,820,0.243902439,Medical & Healthcare
Latin Teacher,8%,731,3117,0.234520372,Medical & Healthcare
Laundry,30%,96,767,0.125162973,Medical & Healthcare
Laundry Aide,10%,240,790,0.303797468,Communication & PR
Laundry Attendant,30%,113,927,0.121898598,Sales & Marketing
Law Clerk,15%,650,2816,0.230823864,Sales & Marketing
Law Enforcement Officer,5%,382,1256,0.304140127,Administrative & Clerical
Law Librarian,15%,672,3040,0.221052632,Hospitality
Law Office Assistant,20%,210,1491,0.14084507,Sales & Marketing
Law Professor,10%,742,3222,0.230291744,Administrative & Clerical
Lawyer,15%,764,3329,0.229498348,Communication & PR
Lead Auditor,10%,807,3228,0.25,Law Enforcement
Lead Carpenter,30%,112,901,0.124306326,Communication & PR
Lead Developer,20%,276,1699,0.162448499,Leadership & Strategy
Lead Engineer,25%,291,1884,0.154458599,Leadership & Strategy
Lead Generator,25%,479,2883,0.166146375,Communication & PR
Lead Mechanical Engineer,20%,149,997,0.149448345,Administrative & Clerical
Lead Medical Assistant,25%,196,1543,0.127025275,Data & IT
Lead Pastor,5%,514,2290,0.224454148,Administrative & Clerical
Lead Pharmacy Technician,25%,194,1534,0.126466754,Administrative & Clerical
Lead Software Engineer,25%,287,1861,0.154218162,Medical & Healthcare
Lead Teacher,10%,795,3359,0.236677583,Leadership & Strategy
Lead Technician,35%,428,1196,0.357859532,Administrative & Clerical
Leadership Development Program,10%,1232,4753,0.259204713,Supply Chain & Logistics
Lean Consultant,30%,290,1678,0.172824791,Data & IT
Learning And Development Manager,25%,312,2046,0.152492669,Sales & Marketing
Learning And Development Specialist,10%,1290,4877,0.264506869,Law Enforcement
Learning Consultant,15%,1004,4190,0.239618138,Administrative & Clerical
Learning Specialist,20%,241,1616,0.149133663,Supply Chain & Logistics
Lease Administrator,40%,635,2107,0.301376364,Leadership & Strategy
Lease Operator,15%,517,1986,0.260322256,Medical & Healthcare
Leasing Agent,25%,281,1933,0.145369891,Communication & PR
Leasing Consultant,25%,280,1933,0.144852561,Data & IT
Leasing Manager,20%,222,1703,0.130358191,Sales & Marketing
Leasing Specialist,25%,285,1943,0.146680391,Administrative & Clerical
Lecturer,10%,816,3417,0.23880597,Medical & Healthcare
Legal Administrative Assistant,40%,531,1910,0.278010471,Supply Chain & Logistics
Legal Administrator,25%,285,1844,0.154555315,Data & IT
Legal Analyst,30%,235,1548,0.151808786,Administrative & Clerical
Legal Assistant,40%,527,1905,0.27664042,Law Enforcement
Legal Clerk,25%,275,1582,0.173830594,Administrative & Clerical
Legal Consultant,30%,220,1464,0.150273224,Leadership & Strategy
Legal Counsel,20%,245,1691,0.144884684,Hospitality
Legal Editor,25%,347,2167,0.160129211,Leadership & Strategy
Legal Officer,25%,295,1961,0.150433452,Medical & Healthcare
Legal Receptionist,35%,463,1700,0.272352941,Law Enforcement
Legal Secretary,40%,532,1909,0.278679937,Construction
Legislative Assistant,35%,774,2532,0.305687204,Construction
Lending Manager,15%,1016,4131,0.245945292,Construction
Librarian,30%,200,1648,0.121359223,Supply Chain & Logistics
Library Aide,15%,632,2846,0.222066058,Construction
Library Assistant,20%,199,1457,0.136582018,Medical & Healthcare
Library Associate,20%,202,1461,0.138261465,Supply Chain & Logistics
Library Clerk,25%,245,1394,0.175753228,Medical & Healthcare
Library Director,25%,281,1861,0.150994089,Communication & PR
Library Media Specialist,35%,720,2380,0.302521008,Administrative & Clerical
Library Page,10%,792,3156,0.25095057,Communication & PR
Library Technician,40%,521,1849,0.281773932,Data & IT
Licensed Customs Broker,22%,167,1252,0.133386581,Sales & Marketing
Licensed Insurance Agent,50%,104,846,0.122931442,Sales & Marketing
Licensed Massage Therapist,10%,348,1266,0.274881517,Sales & Marketing
Licensed Practical Nurse,35%,80,588,0.136054422,Law Enforcement
Licensed Practical Nurse Lpn,34%,80,588,0.136054422,Construction
Licensed Professional Counselor,15%,655,2892,0.22648686,Hospitality
Life Coach,10%,960,3946,0.243284339,Communication & PR
Life Insurance Agent,60%,133,1025,0.129756098,Law Enforcement
Lifeguard,12%,265,1038,0.255298651,Medical & Healthcare
Lift Operator,30%,106,1187,0.089300758,Communication & PR
Lighting Designer,20%,257,1951,0.131727319,Hospitality
Lighting Technician,20%,209,1554,0.134491634,Medical & Healthcare
Line Cook,20%,33,183,0.180327869,Supply Chain & Logistics
Line Leader,30%,201,1598,0.125782228,Hospitality
Line Operator,65%,58,488,0.118852459,Administrative & Clerical
Line Producer,25%,334,2201,0.151749205,Leadership & Strategy
Line Service Technician,18%,402,2017,0.1993059,Supply Chain & Logistics
Lineman,20%,100,612,0.163398693,Law Enforcement
Lineman Apprentice,20%,98,609,0.16091954,Construction
Linguist,20%,179,1299,0.137798306,Administrative & Clerical
Linux Administrator,46%,483,1856,0.260237069,Construction
Linux Engineer,50%,189,1387,0.136265321,Sales & Marketing
Linux System Administrator,50%,189,1387,0.136265321,Hospitality
Linux System Engineer,55%,143,1061,0.134778511,Administrative & Clerical
Literacy Specialist,20%,227,1520,0.149342105,Law Enforcement
Litigation Associate,40%,502,1701,0.295120517,Sales & Marketing
Litigation Attorney,40%,503,1699,0.296056504,Hospitality
Litigation Legal Assistant,40%,553,1927,0.286974572,Communication & PR
Litigation Paralegal,40%,554,1932,0.286749482,Data & IT
Live In Caregiver,10%,500,2383,0.209819555,Communication & PR
Live In Nanny,5%,462,1680,0.275,Leadership & Strategy
Loader,25%,108,908,0.118942731,Medical & Healthcare
Loader Operator,10%,206,717,0.287308229,Data & IT
Loadmaster,10%,554,2024,0.273715415,Communication & PR
Loan Administrator,20%,246,1744,0.141055046,Supply Chain & Logistics
Loan Analyst,40%,750,2337,0.320924262,Medical & Healthcare
Loan Assistant,30%,192,1290,0.148837209,Supply Chain & Logistics
Loan Closer,60%,178,1593,0.111738858,Medical & Healthcare
Loan Consultant,15%,1034,4224,0.244791667,Sales & Marketing
Loan Coordinator,20%,248,1746,0.142038946,Law Enforcement
Loan Officer,30%,225,1522,0.1478318,Law Enforcement
Loan Officer Assistant,15%,1021,4171,0.244785423,Hospitality
Loan Originator,25%,292,1940,0.150515464,Leadership & Strategy
Loan Processor,50%,129,962,0.134095634,Administrative & Clerical
Loan Servicing Specialist,20%,244,1647,0.148148148,Construction
Loan Specialist,45%,485,1578,0.307351077,Leadership & Strategy
Loan Underwriter,60%,121,949,0.127502634,Data & IT
Lobby Attendant,40%,233,841,0.27705113,Data & IT
Local Cdl,45%,124,547,0.226691042,Construction
Local Delivery Driver,45%,130,567,0.229276896,Sales & Marketing
Local Truck Driver,45%,128,566,0.22614841,Hospitality
Locker Room Attendant,30%,123,1004,0.12250996,Hospitality
Locksmith,10%,246,844,0.291469194,Administrative & Clerical
Locomotive Engineer,20%,22,118,0.186440678,Hospitality
Logger,10%,188,626,0.300319489,Leadership & Strategy
Logistician,30%,291,1786,0.162933931,Supply Chain & Logistics
Logistics Administrator,40%,749,2422,0.309248555,Hospitality
Logistics Analyst,40%,814,2675,0.304299065,Communication & PR
Logistics Assistant,50%,139,1138,0.122144112,Leadership & Strategy
Logistics Associate,45%,518,1647,0.314511233,Data & IT
Logistics Clerk,65%,124,1005,0.123383085,Medical & Healthcare
Logistics Consultant,30%,299,1746,0.171248568,Law Enforcement
Logistics Coordinator,60%,158,1201,0.131557036,Law Enforcement
Logistics Engineer,20%,255,1787,0.142697258,Administrative & Clerical
Logistics Manager,20%,300,1983,0.15128593,Leadership & Strategy
Logistics Planner,40%,756,2500,0.3024,Data & IT
Logistics Specialist,35%,805,2534,0.317679558,Medical & Healthcare
Logistics Supervisor,30%,273,1707,0.159929701,Construction
Long Term Substitute Teacher,10%,726,3219,0.225535881,Supply Chain & Logistics
Loss Mitigation Specialist,40%,584,2004,0.291417166,Medical & Healthcare
Loss Prevention,40%,457,1439,0.317581654,Sales & Marketing
Loss Prevention Detective,40%,415,1381,0.300506879,Sales & Marketing
Loss Prevention Investigator,50%,390,1376,0.283430233,Leadership & Strategy
Loss Prevention Manager,35%,445,1545,0.28802589,Leadership & Strategy
Loss Prevention Officer,50%,70,540,0.12962963,Law Enforcement
Loss Prevention Specialist,5%,662,2187,0.302697759,Hospitality
Lot Attendant,45%,230,837,0.27479092,Data & IT
Low Voltage Electrician,10%,529,1951,0.271143004,Data & IT
Low Voltage Technician,18%,434,2115,0.205200946,Law Enforcement
Lpn,15%,570,2178,0.261707989,Leadership & Strategy
Lpn Nurse,33%,81,588,0.137755102,Sales & Marketing
Lube Technician,25%,159,1348,0.117952522,Sales & Marketing
Lumberjack,10%,191,607,0.314662273,Medical & Healthcare
Lumper,10%,425,1675,0.253731343,Administrative & Clerical
Luthier,10%,285,1143,0.249343832,Administrative & Clerical
Lvn,15%,572,2181,0.262265016,Medical & Healthcare
Machine Builder,25%,188,1529,0.122956181,Hospitality
Machine Learning Engineer,5%,1159,4109,0.282063762,Sales & Marketing
Machine Operator,30%,197,1598,0.123279099,Communication & PR
Machinist,20%,116,776,0.149484536,Medical & Healthcare
Maid,20%,25,154,0.162337662,Sales & Marketing
Mail Carrier,50%,41,390,0.105128205,Sales & Marketing
Mail Clerk,95%,193,1366,0.141288433,Leadership & Strategy
Mail Handler,90%,188,1350,0.139259259,Communication & PR
Mail Processing,88%,189,1336,0.141467066,Medical & Healthcare
Mail Sorter,75%,136,1219,0.111566858,Hospitality
Mailroom Clerk,70%,135,1205,0.112033195,Sales & Marketing
Mainframe Developer,20%,295,1760,0.167613636,Sales & Marketing
Mainframe Programmer,65%,226,1354,0.166912851,Hospitality
Maintenance,18%,457,1854,0.246494067,Construction
Maintenance Assistant,10%,725,2630,0.275665399,Leadership & Strategy
Maintenance Coordinator,20%,158,1227,0.128769356,Supply Chain & Logistics
Maintenance Director,40%,399,1357,0.294030951,Medical & Healthcare
Maintenance Electrician,20%,141,1144,0.123251748,Law Enforcement
Maintenance Engineer,30%,202,1552,0.130154639,Supply Chain & Logistics
Maintenance Manager,40%,407,1380,0.294927536,Construction
Maintenance Mechanic,20%,143,1185,0.120675105,Construction
Maintenance Planner,30%,213,1585,0.134384858,Law Enforcement
Maintenance Specialist,25%,198,1563,0.126679463,Communication & PR
Maintenance Superintendent,40%,397,1376,0.288517442,Sales & Marketing
Maintenance Supervisor,20%,147,1216,0.120888158,Sales & Marketing
Maintenance Technician,25%,198,1563,0.126679463,Data & IT
Maintenance Worker,18%,421,1649,0.255306246,Sales & Marketing
Major Gifts Officer,30%,219,1732,0.126443418,Construction
Make Up Artist,5%,644,2503,0.25729125,Leadership & Strategy
Makeup Artist,10%,540,2932,0.184174625,Administrative & Clerical
Male Model,5%,635,2214,0.286811201,Medical & Healthcare
Mall,10%,650,2786,0.233309404,Sales & Marketing
Mammographer,30%,109,1059,0.10292729,Administrative & Clerical
Mammography Technologist,30%,112,1067,0.104967198,Leadership & Strategy
Management Accountant,10%,747,2895,0.258031088,Construction
Management Analyst,35%,442,2925,0.151111111,Medical & Healthcare
Management Assistant,15%,962,3872,0.248450413,Hospitality
Management Consultant,35%,231,1336,0.172904192,Supply Chain & Logistics
Management Consulting,45%,536,1784,0.30044843,Administrative & Clerical
Management Engineer,30%,259,1854,0.13969795,Supply Chain & Logistics
Management Trainee,15%,942,3787,0.248745709,Data & IT
Manager,15%,1316,5181,0.254005018,Medical & Healthcare
Manager Trainee,10%,1040,4010,0.259351621,Administrative & Clerical
Managing Consultant,35%,232,1341,0.17300522,Law Enforcement
Managing Director,15%,1116,4285,0.260443407,Hospitality
Managing Editor,20%,1170,5035,0.232373386,Supply Chain & Logistics
Managing Partner,10%,802,2992,0.268048128,Medical & Healthcare
Mandarin Teacher,8%,762,3230,0.235913313,Supply Chain & Logistics
Manicurist,5%,447,1793,0.249302844,Supply Chain & Logistics
Manual Machinist,10%,194,846,0.229314421,Medical & Healthcare
Manual Qa Tester,60%,121,1053,0.114909782,Supply Chain & Logistics
Manual Tester,60%,121,1016,0.119094488,Law Enforcement
Manufacturing,10%,640,2655,0.241054614,Leadership & Strategy
Manufacturing Analyst,40%,638,2158,0.295644115,Communication & PR
Manufacturing Associate,45%,317,1084,0.292435424,Sales & Marketing
Manufacturing Engineer,30%,224,1371,0.163384391,Communication & PR
Manufacturing Manager,25%,194,1364,0.142228739,Data & IT
Manufacturing Operations Manager,25%,258,1853,0.139233675,Sales & Marketing
Manufacturing Operator,50%,58,512,0.11328125,Communication & PR
Manufacturing Planner,25%,285,1972,0.144523327,Hospitality
Manufacturing Process Engineer,35%,715,2635,0.271347249,Supply Chain & Logistics
Manufacturing Specialist,30%,284,2068,0.137330754,Data & IT
Manufacturing Technician,40%,432,1757,0.245873648,Data & IT
Marine,5%,255,934,0.273019272,Leadership & Strategy
Marine Biologist,10%,431,2053,0.209936678,Data & IT
Marine Electrician,10%,235,938,0.250533049,Supply Chain & Logistics
Marine Engineer,25%,220,1668,0.131894484,Leadership & Strategy
Marine Mammal Trainer,5%,493,1919,0.256904638,Medical & Healthcare
Marine Mechanic,18%,400,1957,0.204394481,Hospitality
Marine Surveyor,18%,482,2242,0.214986619,Communication & PR
Marine Technician,20%,166,1325,0.125283019,Hospitality
Market Analyst,40%,1044,3370,0.309792285,Supply Chain & Logistics
Market Manager,15%,1234,4926,0.250507511,Supply Chain & Logistics
Market Research Analyst,40%,1046,3372,0.310201661,Law Enforcement
Market Research Interviewer,80%,210,1825,0.115068493,Hospitality
Market Research Manager,20%,444,2978,0.149093351,Supply Chain & Logistics
Market Researcher,40%,1037,3356,0.308998808,Construction
Marketer,30%,288,2208,0.130434783,Law Enforcement
Marketing,45%,863,3239,0.266440259,Medical & Healthcare
Marketing Account Executive,45%,860,3234,0.265924552,Supply Chain & Logistics
Marketing Account Manager,45%,866,3262,0.2654813,Law Enforcement
Marketing Administrator,20%,488,3153,0.154773232,Hospitality
Marketing Analyst,40%,1029,3263,0.315353969,Sales & Marketing
Marketing Assistant,20%,488,3153,0.154773232,Communication & PR
Marketing Associate,25%,586,3251,0.18025223,Data & IT
Marketing Automation Specialist,55%,201,1931,0.104091144,Leadership & Strategy
Marketing Communications,25%,581,3233,0.179709248,Administrative & Clerical
Marketing Communications Manager,25%,578,3227,0.179113728,Leadership & Strategy
Marketing Communications Specialist,25%,586,3251,0.18025223,Medical & Healthcare
Marketing Consultant,55%,200,1637,0.12217471,Medical & Healthcare
Marketing Coordinator,20%,492,3169,0.155254023,Data & IT
Marketing Copywriter,10%,981,4424,0.221745027,Communication & PR
Marketing Data Analyst,40%,1027,3220,0.318944099,Sales & Marketing
Marketing Director,45%,885,3293,0.268751898,Construction
Marketing Engineer,25%,590,3260,0.180981595,Supply Chain & Logistics
Marketing Executive,45%,894,3311,0.270009061,Sales & Marketing
Marketing Manager,45%,893,3300,0.270606061,Hospitality
Marketing Officer,20%,496,3180,0.155974843,Administrative & Clerical
Marketing Operations Manager,55%,165,1338,0.123318386,Supply Chain & Logistics
Marketing Professional,30%,283,2192,0.129105839,Construction
Marketing Project Manager,52%,178,1396,0.127507163,Medical & Healthcare
Marketing Representative,10%,1251,5064,0.247037915,Construction
Marketing Research Analyst,40%,1009,3220,0.313354037,Hospitality
Marketing Specialist,20%,281,2181,0.128839982,Leadership & Strategy
Marketing Strategist,30%,310,2324,0.133390706,Sales & Marketing
Marriage And Family Therapist,20%,121,717,0.168758717,Construction
